Date,Open,High,Low,Close,Volume
2-Sep-15,42.36,43.38,41.88,43.36,37490396
1-Sep-15,42.17,42.59,41.66,41.82,49194736
31-Aug-15,43.56,43.93,43.10,43.52,34159135
28-Aug-15,43.40,44.15,43.39,43.93,28104231
27-Aug-15,43.23,43.95,42.92,43.90,50498307
26-Aug-15,42.01,42.84,41.06,42.71,63031299
25-Aug-15,42.56,43.24,40.39,40.47,70239286
24-Aug-15,40.45,43.31,39.72,41.68,88049620
21-Aug-15,45.30,45.48,43.07,43.07,68835485
20-Aug-15,46.07,46.47,45.66,45.66,35671759
19-Aug-15,46.78,47.08,46.30,46.61,31485511
18-Aug-15,46.84,47.43,46.70,47.27,23574104
17-Aug-15,46.81,47.45,46.57,47.32,21099746
14-Aug-15,46.53,47.10,46.52,47.00,21473402
13-Aug-15,47.06,47.10,46.49,46.73,22627241
12-Aug-15,46.19,46.90,45.70,46.74,30198532
11-Aug-15,46.82,46.94,45.90,46.41,29237402
10-Aug-15,46.95,47.49,46.84,47.33,23079870
7-Aug-15,46.39,46.78,46.26,46.74,19163038
6-Aug-15,47.71,47.77,46.33,46.62,27368000
5-Aug-15,47.98,48.41,47.54,47.58,26959655
4-Aug-15,46.75,47.71,46.68,47.54,33403916
3-Aug-15,46.98,47.00,46.45,46.81,24125886
31-Jul-15,47.29,47.37,46.50,46.70,31201480
30-Jul-15,46.26,47.40,45.93,46.88,39777883
29-Jul-15,45.40,46.78,45.26,46.29,40945864
28-Jul-15,45.58,45.64,44.79,45.34,34328948
27-Jul-15,45.94,46.01,45.25,45.35,39701420
24-Jul-15,45.91,46.32,45.80,45.94,32333244
23-Jul-15,45.27,46.23,45.10,46.11,33934010
22-Jul-15,45.44,46.93,45.20,45.54,59152427
21-Jul-15,46.78,47.33,46.48,47.28,42781899
20-Jul-15,46.65,47.13,46.44,46.92,30631905
17-Jul-15,46.55,46.78,46.26,46.62,29467107
16-Jul-15,46.01,46.69,45.96,46.66,26271673
15-Jul-15,45.68,45.89,45.43,45.76,26629615
14-Jul-15,45.45,45.96,45.31,45.62,22880260
13-Jul-15,44.98,45.62,44.95,45.54,28178329
